satisfaction,effort,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11,req_12,req_13,req_14,req_15,req_16,req_17,req_18
62.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.00,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174.00,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
224.00,5,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
228.00,6,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
273.00,7,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
278.00,8,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
279.00,9,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
327.00,10,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
328.00,11,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
347.00,12,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
352.00,13,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
382.00,14,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
401.00,15,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
402.00,16,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
425.00,17,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
426.00,18,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
456.00,19,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
480.00,21,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0
491.00,23,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0
497.00,24,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
515.00,25,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0
521.00,26,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0
538.00,28,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
542.00,29,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0
556.00,30,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0
573.00,32,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0
579.00,33,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0
583.00,34,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0
590.00,35,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0
600.00,36,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0
614.00,37,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0
620.00,40,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1
641.00,41,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0
642.00,43,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
646.00,44,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
661.00,45,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1
663.00,46,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0
677.00,47,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0
687.00,49,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
698.00,50,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
704.00,51,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
707.00,53,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
725.00,54,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
726.00,56,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
730.00,57,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
745.00,58,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
750.00,59,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
761.00,60,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
771.00,62,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
788.00,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
791.00,66,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
793.00,67,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
808.00,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
813.00,71,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
834.00,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
854.00,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
873.00,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
893.00,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
